コメント,メンバー,ハッシュタグ
どんな多くの人に それなりに愛されるよりもたった一人の大事な人に 愛されたかった,#世界で一番孤独なLover,#乃木坂46 #歌詞
汚れなきものなんて 大人が求める幻想,#制服のマネキン,#乃木坂46 #歌詞
できないんじゃない　やってないだけさ,#制服のマネキン,#乃木坂46 #歌詞
この制服を脱いで自由になろう JKの特権にサヨナラを,#制服を脱いでサヨナラを...,#乃木坂46 #歌詞
生田さんの電視台のあとで、本当にやくぼにはよく頑張ったねって言ってあげたいです。本人もすごい緊張してたので沢山褒めてあげてください,#清宮レイ,#乃木坂46 #名言
まず、個人的には選抜で経験を積んできた３人（遠藤、賀喜、筒井）との実力差を感じたライブでした。すごく悔しかったですね,#清宮レイ,#乃木坂46 #名言
選抜に入りたいとか、４期生曲で前に立ちたいとか、そういうことをみんなが口にするようになりました。だから私にとって今の４期生は、前よりもライバル的な存在なんです,#清宮レイ,#乃木坂46 #名言
やっぱり、あの選抜組の3人は歌番組とかめちゃくちゃやってるから、「うまっ！」って思って。でも、でも、なんか負けたくなかった,#清宮レイ,#乃木坂46 #名言
乃木坂46に入ってから、普通に生きていたころと比べて何をするにも5倍くらいの感情を使うんです。嬉しいも5倍なぶん、悲しいも5倍,#清宮レイ,#乃木坂46 #名言
私の（七夕の）願い事は世界平和ということで。みなさん幸せになってください。たくさんご飯を食べて、たくさん遊んで、たくさん勉強して、幸せになってね～,#清宮レイ,#乃木坂46 #名言
好きなことをして、好きな人たちとお話して、美味しいものを食べて、暖かい心をもって幸せに生きてくださいね,#清宮レイ,#乃木坂46 #名言
せっかく選んでもらえたのだから、それはきっと私にいいところがあるからなんだろうと思うようにしました。なので私にできることは笑顔で頑張ることだと思い、そんなに緊張することなく踊ることができました,#清宮レイ,#乃木坂46 #名言
テスト用紙渡されて「好きな点数書いていいよ」って言われたら100点って書きたいじゃないですか！自分の可能性は無限大ですよ,#清宮レイ,#乃木坂46 #名言
この曲を歌ってると温かい気持ちになって自然と笑顔になれて、こんなに素敵な場所にいられることが嬉しくて、しあわせで、こんな私でも誰かを楽しませることができているのかもって思えて,#清宮レイ,#乃木坂46 #名言
